Date,Open,High,Low,Close,Adj Close,Volume
12/12/1980,0.513393,0.515625,0.513393,0.513393,0.421597,117258400
12/15/1980,0.488839,0.488839,0.486607,0.486607,0.399601,43971200
12/16/1980,0.453125,0.453125,0.450893,0.450893,0.370272,26432000
12/17/1980,0.462054,0.464286,0.462054,0.462054,0.379437,21610400
12/18/1980,0.475446,0.477679,0.475446,0.475446,0.390436,18362400
12/19/1980,0.504464,0.506696,0.504464,0.504464,0.414265,12157600
12/22/1980,0.529018,0.53125,0.529018,0.529018,0.434428,9340800
12/23/1980,0.551339,0.553571,0.551339,0.551339,0.452758,11737600
12/24/1980,0.580357,0.582589,0.580357,0.580357,0.476588,12000800
12/26/1980,0.633929,0.636161,0.633929,0.633929,0.520581,13893600
12/29/1980,0.642857,0.645089,0.642857,0.642857,0.527913,23290400
12/30/1980,0.629464,0.629464,0.627232,0.627232,0.515082,17220000
12/31/1980,0.611607,0.611607,0.609375,0.609375,0.500417,8937600
1/2/1981,0.616071,0.620536,0.616071,0.616071,0.505916,5415200
1/5/1981,0.604911,0.604911,0.602679,0.602679,0.494918,8932000
1/6/1981,0.578125,0.578125,0.575893,0.575893,0.472922,11289600
1/7/1981,0.553571,0.553571,0.551339,0.551339,0.452758,13921600
1/8/1981,0.542411,0.542411,0.540179,0.540179,0.443594,9956800
1/9/1981,0.569196,0.571429,0.569196,0.569196,0.467423,5376000
1/12/1981,0.569196,0.569196,0.564732,0.564732,0.463757,5924800
1/13/1981,0.546875,0.546875,0.544643,0.544643,0.44726,5762400
1/14/1981,0.546875,0.549107,0.546875,0.546875,0.449092,3572800
1/15/1981,0.558036,0.5625,0.558036,0.558036,0.458258,3516800
1/16/1981,0.555804,0.555804,0.553571,0.553571,0.454591,3348800
1/19/1981,0.587054,0.589286,0.587054,0.587054,0.482087,10393600
1/20/1981,0.571429,0.571429,0.569196,0.569196,0.467423,7520800
1/21/1981,0.580357,0.584821,0.580357,0.580357,0.476588,3976000
1/22/1981,0.587054,0.591518,0.587054,0.587054,0.482087,8887200
1/23/1981,0.587054,0.589286,0.584821,0.584821,0.480254,2805600
1/26/1981,0.578125,0.578125,0.575893,0.575893,0.472922,6160000
1/27/1981,0.575893,0.575893,0.571429,0.571429,0.469256,5924800
1/28/1981,0.555804,0.555804,0.553571,0.553571,0.454591,7039200
1/29/1981,0.535714,0.535714,0.533482,0.533482,0.438094,10976000
1/30/1981,0.508929,0.508929,0.504464,0.504464,0.414265,11547200
2/2/1981,0.477679,0.477679,0.475446,0.475446,0.390436,5941600
2/3/1981,0.493304,0.495536,0.493304,0.493304,0.4051,4788000
2/4/1981,0.511161,0.513393,0.511161,0.511161,0.419764,6966400
2/5/1981,0.511161,0.515625,0.511161,0.511161,0.419764,1982400
2/6/1981,0.513393,0.515625,0.513393,0.513393,0.421597,3466400
2/9/1981,0.491071,0.491071,0.486607,0.486607,0.399601,4188800
2/10/1981,0.486607,0.488839,0.486607,0.486607,0.399601,4586400
2/11/1981,0.473214,0.473214,0.470982,0.470982,0.386769,3460800
2/12/1981,0.46875,0.46875,0.466518,0.466518,0.383103,3640000
2/13/1981,0.459821,0.459821,0.455357,0.455357,0.373938,2788800
2/17/1981,0.466518,0.46875,0.466518,0.466518,0.383103,3068800
2/18/1981,0.486607,0.491071,0.486607,0.486607,0.399601,4810400
2/19/1981,0.459821,0.459821,0.457589,0.457589,0.375771,5577600
2/20/1981,0.435268,0.435268,0.433036,0.433036,0.355608,6092800
2/23/1981,0.439732,0.441964,0.439732,0.439732,0.361107,3528000
2/24/1981,0.428571,0.428571,0.424107,0.424107,0.348276,4244800
2/25/1981,0.450893,0.453125,0.450893,0.450893,0.370272,4872000
2/26/1981,0.457589,0.459821,0.457589,0.457589,0.375771,2710400
2/27/1981,0.473214,0.477679,0.473214,0.473214,0.388602,3690400
3/2/1981,0.475446,0.477679,0.475446,0.475446,0.390436,2940000
3/3/1981,0.470982,0.470982,0.46875,0.46875,0.384936,4043200
3/4/1981,0.466518,0.466518,0.464286,0.464286,0.38127,3427200
3/5/1981,0.464286,0.464286,0.462054,0.462054,0.379437,1344000
3/6/1981,0.462054,0.462054,0.457589,0.457589,0.375771,2900800
3/9/1981,0.424107,0.424107,0.421875,0.421875,0.346443,3830400
3/10/1981,0.404018,0.404018,0.401786,0.401786,0.329946,7095200
3/11/1981,0.390625,0.390625,0.386161,0.386161,0.317114,7464800
3/12/1981,0.401786,0.404018,0.401786,0.401786,0.329946,14812000
3/13/1981,0.399554,0.399554,0.397321,0.397321,0.32628,57825600
3/16/1981,0.412946,0.417411,0.412946,0.412946,0.339111,9307200
3/17/1981,0.433036,0.4375,0.433036,0.433036,0.355608,10936800
3/18/1981,0.459821,0.464286,0.459821,0.459821,0.377604,9234400
3/19/1981,0.457589,0.457589,0.455357,0.455357,0.373938,9452800
3/20/1981,0.459821,0.464286,0.459821,0.459821,0.377604,3651200
3/23/1981,0.477679,0.482143,0.477679,0.477679,0.392269,5504800
3/24/1981,0.477679,0.477679,0.475446,0.475446,0.390436,7039200
3/25/1981,0.470982,0.470982,0.466518,0.466518,0.383103,1764000
3/26/1981,0.459821,0.459821,0.457589,0.457589,0.375771,3068800
3/27/1981,0.444196,0.444196,0.441964,0.441964,0.36294,3063200
3/30/1981,0.441964,0.446429,0.441964,0.441964,0.36294,2475200
3/31/1981,0.441964,0.441964,0.4375,0.4375,0.359274,3998400
4/1/1981,0.435268,0.435268,0.433036,0.433036,0.355608,8517600
